  z    H2O         O3          CH4         NO2         OH         HCl
  9.4  1.9090E-04  8.3998E-08  1.6042E-06  3.2745E-11  4.7825E-14  5.2336E-11
  9.5  1.8149E-04  8.4832E-08  1.6036E-06  3.3353E-11  4.6596E-14  5.3538E-11
  9.6  1.7242E-04  8.5666E-08  1.6030E-06  3.3935E-11  4.5400E-14  5.4769E-11
  9.7  1.6371E-04  8.6500E-08  1.6023E-06  3.4493E-11  4.4240E-14  5.6030E-11
  9.8  1.5539E-04  8.7334E-08  1.6016E-06  3.5023E-11  4.3119E-14  5.7322E-11
  9.9  1.4748E-04  8.8167E-08  1.6008E-06  3.5526E-11  4.2038E-14  5.8645E-11
 10.0  1.4000E-04  8.9000E-08  1.6000E-06  3.6000E-11  4.1000E-14  6.0000E-11
 10.1  1.3298E-04  8.9835E-08  1.5991E-06  3.6445E-11  4.0007E-14  6.1387E-11
 10.2  1.2639E-04  9.0688E-08  1.5981E-06  3.6868E-11  3.9058E-14  6.2808E-11
 10.3  1.2023E-04  9.1578E-08  1.5971E-06  3.7277E-11  3.8154E-14  6.4264E-11
 10.4  1.1447E-04  9.2523E-08  1.5961E-06  3.7680E-11  3.7292E-14  6.5757E-11
 10.5  1.0909E-04  9.3542E-08  1.5949E-06  3.8085E-11  3.6474E-14  6.7289E-11
 10.6  1.0406E-04  9.4654E-08  1.5938E-06  3.8500E-11  3.5699E-14  6.8860E-11
 10.7  9.9379E-05  9.5878E-08  1.5925E-06  3.8934E-11  3.4965E-14  7.0472E-11
 10.8  9.5014E-05  9.7231E-08  1.5912E-06  3.9394E-11  3.4272E-14  7.2127E-11
 10.9  9.0948E-05  9.8734E-08  1.5899E-06  3.9889E-11  3.3620E-14  7.3826E-11
 11.0  8.7161E-05  1.0041E-07  1.5885E-06  4.0426E-11  3.3009E-14  7.5571E-11
 11.1  8.3632E-05  1.0226E-07  1.5871E-06  4.1015E-11  3.2436E-14  7.7363E-11
 11.2  8.0341E-05  1.0433E-07  1.5856E-06  4.1662E-11  3.1903E-14  7.9204E-11
 11.3  7.7268E-05  1.0661E-07  1.5840E-06  4.2376E-11  3.1409E-14  8.1095E-11
 11.4  7.4393E-05  1.0914E-07  1.5824E-06  4.3165E-11  3.0952E-14  8.3038E-11
 11.5  7.1695E-05  1.1193E-07  1.5808E-06  4.4038E-11  3.0532E-14  8.5034E-11
 11.6  6.9153E-05  1.1500E-07  1.5791E-06  4.5002E-11  3.0150E-14  8.7084E-11
 11.7  6.6749E-05  1.1837E-07  1.5774E-06  4.6065E-11  2.9803E-14  8.9191E-11
 11.8  6.4460E-05  1.2206E-07  1.5756E-06  4.7236E-11  2.9492E-14  9.1356E-11
 11.9  6.2268E-05  1.2609E-07  1.5738E-06  4.8523E-11  2.9216E-14  9.3579E-11
 12.0  6.0152E-05  1.3047E-07  1.5719E-06  4.9933E-11  2.8975E-14  9.5864E-11
 12.1  5.8091E-05  1.3522E-07  1.5700E-06  5.1475E-11  2.8768E-14  9.8210E-11
 12.2  5.6066E-05  1.4037E-07  1.5680E-06  5.3158E-11  2.8594E-14  1.0062E-10
 12.3  5.4056E-05  1.4592E-07  1.5661E-06  5.4988E-11  2.8453E-14  1.0310E-10
 12.4  5.2041E-05  1.5191E-07  1.5640E-06  5.6974E-11  2.8344E-14  1.0564E-10
 12.5  5.0000E-05  1.5835E-07  1.5620E-06  5.9125E-11  2.8267E-14  1.0825E-10
